"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
117,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",117,"Balandougouba","Sub-prefecture","Sub-prefecture",NA,NA
118,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",118,"Dialakoro","Sub-prefecture","Sub-prefecture",NA,NA
119,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",119,"Faralako","Sub-prefecture","Sub-prefecture",NA,NA
120,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",120,"Kantoumanina","Sub-prefecture","Sub-prefecture",NA,NA
121,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",121,"Kiniéran","Sub-prefecture","Sub-prefecture",NA,NA
122,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",122,"Koundianakoro","Sub-prefecture","Sub-prefecture",NA,NA
123,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",123,"Koundian","Sub-prefecture","Sub-prefecture",NA,NA
124,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",124,"Mandiana-Centre","Sub-prefecture","Sub-prefecture",NA,NA
125,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",125,"Morodou","Sub-prefecture","Sub-prefecture",NA,NA
126,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",126,"Niantanina","Sub-prefecture","Sub-prefecture",NA,NA
127,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",127,"Saladou","Sub-prefecture","Sub-prefecture",NA,NA
128,97,"GIN","Guinea",4,"Kankan",14,"Mandiana",128,"Sansando","Sub-prefecture","Sub-prefecture",NA,NA
129,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",129,"Bankon","Sub-prefecture","Sub-prefecture",NA,NA
130,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",130,"Doko","Sub-prefecture","Sub-prefecture",NA,NA
131,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",131,"Franwalia","Sub-prefecture","Sub-prefecture",NA,NA
132,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",132,"Kiniébakoura","Sub-prefecture","Sub-prefecture",NA,NA
133,97,"GIN","Guinea",4,"Kankan",15,"Siguiri",133,"Kintinian","Sub-prefecture","Sub-prefecture",NA,NA
